Customer_ID,Amount,Balance,Transaction_Type,Withdrawal_Frequency,Hourly_Withdrawals,Disputed,Geo_Location_Deviation,High_Transaction_Flag,Negative_Balance_Flag,Fraudulent_Flag,Country
221958,7484.83,10968.86,Wire Transfer,12,5,False,848,0,0,0,France
771155,-3.84,4786.49,Wire Transfer,15,10,False,2997,0,0,0,Russia
231932,24585.3,1724.25,POS Purchase,15,3,False,1330,1,0,0,France
465838,19625.47,30023.18,Cash Withdrawal,14,6,True,1025,1,0,0,Germany
359178,3444.32,35483.01,Cash Withdrawal,12,1,False,3229,0,0,0,USA
744167,-2897.94,18013.31,Online Transfer,6,7,False,817,0,0,0,Australia
210268,-3301.23,33663.47,Online Transfer,3,6,False,1222,0,0,0,Russia
832180,-1388.66,35360.9,Online Transfer,6,5,True,1423,0,0,0,Germany
154886,12423.06,46702.46,Check Deposit,7,3,True,4178,1,0,0,France
237337,22862.9,2308.56,Check Deposit,10,8,False,3022,1,0,0,France
621430,9902.3,8806.88,POS Purchase,3,4,False,3510,0,0,0,India
187498,20288.36,2494.83,Check Deposit,5,9,True,3533,1,0,0,USA
999159,8376.6,43267.69,Online Transfer,13,9,False,3116,0,0,0,Australia
275203,16257.51,39421.95,Wire Transfer,12,5,True,4270,1,0,0,France
291335,16956.18,28306.75,Online Transfer,8,7,False,1568,1,0,0,Germany
378167,218.91,3266.83,POS Purchase,15,6,True,4479,0,0,0,USA
141090,5836.48,12938.93,Wire Transfer,2,6,False,3937,0,0,0,Canada
429365,14119.06,14183.71,Check Deposit,7,4,False,407,1,0,0,Russia
164820,-2879.1,27597.9,Wire Transfer,13,10,True,1108,0,0,0,Russia
887201,5846.21,12160.24,POS Purchase,1,8,False,2903,0,0,0,Russia
421879,11043.98,2720.95,Check Deposit,7,10,True,3684,1,0,0,Japan
818315,24886.73,36268.88,Cash Withdrawal,1,3,False,2511,1,0,0,France
427069,9236.01,14253.09,Online Transfer,4,5,False,4816,0,0,0,Canada
876997,19481.7,22071.08,Online Transfer,15,1,True,3345,1,0,0,India
299041,7962.02,5511.0,POS Purchase,4,1,True,3257,0,0,0,Japan
891743,18891.72,39929.96,POS Purchase,12,9,True,1071,1,0,0,France
203355,12862.44,27842.13,Online Transfer,5,4,False,4362,1,0,0,Germany
335796,21597.86,44980.87,Wire Transfer,2,9,False,3217,1,0,0,Russia
314176,7328.28,24269.05,Cash Withdrawal,14,7,False,1039,0,0,0,India
284779,13129.13,47012.71,Cash Withdrawal,14,10,False,3368,1,0,0,UK
447449,13900.56,44485.28,POS Purchase,12,8,False,2496,1,0,0,Russia
521909,7521.49,28399.45,POS Purchase,11,9,False,3626,0,0,0,USA
358795,-670.64,46628.57,Wire Transfer,12,1,True,3498,0,0,0,USA
586232,-2193.22,15477.53,POS Purchase,15,7,False,346,0,0,0,USA
600186,-4499.85,17647.75,Cash Withdrawal,6,8,True,3355,0,0,0,Canada
256730,21206.03,1319.38,Online Transfer,6,2,False,3634,1,0,0,Japan
970910,2094.25,29049.25,Cash Withdrawal,14,10,True,376,0,0,0,Germany
484681,1345.2,35818.12,Wire Transfer,8,9,True,3451,0,0,0,Germany
249503,17081.06,38449.48,Online Transfer,13,1,False,2469,1,0,0,UK
754811,4600.48,6640.63,Online Transfer,10,3,True,931,0,0,0,India
627035,10181.34,21652.11,Cash Withdrawal,12,9,False,1851,1,0,0,Germany
748143,-124.67,8020.02,Online Transfer,1,1,True,763,0,0,0,India
552366,23792.37,32768.49,Online Transfer,4,4,True,4840,1,0,0,Canada
