Customer_ID,Amount,Balance,Transaction_Type,Withdrawal_Frequency,Hourly_Withdrawals,Disputed,Geo_Location_Deviation,High_Transaction_Flag,Negative_Balance_Flag,Fraudulent_Flag,Country,Risk_Label,Predicted_Risk_Score,Compliant,Remediation
221958,7484.83,10968.86,4,12,5,False,848,0,0,0,3,1,10,Yes,Compliant
771155,-3.84,4786.49,4,15,10,False,2997,0,0,0,7,0,0,Yes,Compliant
231932,24585.3,1724.25,3,15,3,False,1330,1,0,0,3,1,10,No,AML reporting required for high-value transaction
465838,19625.47,30023.18,0,14,6,True,1025,1,0,0,4,1,10,No,AML reporting required for high-value transaction
359178,3444.32,35483.01,0,12,1,False,3229,0,0,0,9,0,0,Yes,Compliant
744167,-2897.94,18013.31,2,6,7,False,817,0,0,0,0,0,0,Yes,Compliant
210268,-3301.23,33663.47,2,3,6,False,1222,0,0,0,7,0,0,Yes,Compliant
832180,-1388.66,35360.9,2,6,5,True,1423,0,0,0,4,0,0,Yes,Compliant
154886,12423.06,46702.46,1,7,3,True,4178,1,0,0,3,1,10,No,AML reporting required for high-value transaction
237337,22862.9,2308.56,1,10,8,False,3022,1,0,0,3,1,10,No,AML reporting required for high-value transaction
621430,9902.3,8806.88,3,3,4,False,3510,0,0,0,5,1,10,Yes,Compliant
187498,20288.36,2494.83,1,5,9,True,3533,1,0,0,9,1,10,No,AML reporting required for high-value transaction
999159,8376.6,43267.69,2,13,9,False,3116,0,0,0,0,1,10,Yes,Compliant
275203,16257.51,39421.95,4,12,5,True,4270,1,0,0,3,1,10,No,AML reporting required for high-value transaction
291335,16956.18,28306.75,2,8,7,False,1568,1,0,0,4,1,10,No,AML reporting required for high-value transaction
378167,218.91,3266.83,3,15,6,True,4479,0,0,0,9,0,0,Yes,Compliant
141090,5836.48,12938.93,4,2,6,False,3937,0,0,0,1,1,10,Yes,Compliant
429365,14119.06,14183.71,1,7,4,False,407,1,0,0,7,1,10,No,AML reporting required for high-value transaction
164820,-2879.1,27597.9,4,13,10,True,1108,0,0,0,7,0,0,Yes,Compliant
887201,5846.21,12160.24,3,1,8,False,2903,0,0,0,7,1,10,Yes,Compliant
421879,11043.98,2720.95,1,7,10,True,3684,1,0,0,6,1,10,No,AML reporting required for high-value transaction
818315,24886.73,36268.88,0,1,3,False,2511,1,0,0,3,1,10,No,AML reporting required for high-value transaction
427069,9236.01,14253.09,2,4,5,False,4816,0,0,0,1,1,10,Yes,Compliant
876997,19481.7,22071.08,2,15,1,True,3345,1,0,0,5,1,10,No,AML reporting required for high-value transaction
299041,7962.02,5511.0,3,4,1,True,3257,0,0,0,6,1,10,Yes,Compliant
891743,18891.72,39929.96,3,12,9,True,1071,1,0,0,3,1,10,No,AML reporting required for high-value transaction
203355,12862.44,27842.13,2,5,4,False,4362,1,0,0,4,1,10,No,AML reporting required for high-value transaction
335796,21597.86,44980.87,4,2,9,False,3217,1,0,0,7,1,10,No,AML reporting required for high-value transaction
314176,7328.28,24269.05,0,14,7,False,1039,0,0,0,5,1,10,Yes,Compliant
284779,13129.13,47012.71,0,14,10,False,3368,1,0,0,8,1,10,No,AML reporting required for high-value transaction
447449,13900.56,44485.28,3,12,8,False,2496,1,0,0,7,1,10,No,AML reporting required for high-value transaction
521909,7521.49,28399.45,3,11,9,False,3626,0,0,0,9,1,10,Yes,Compliant
358795,-670.64,46628.57,4,12,1,True,3498,0,0,0,9,0,0,Yes,Compliant
586232,-2193.22,15477.53,3,15,7,False,346,0,0,0,9,0,0,Yes,Compliant
600186,-4499.85,17647.75,0,6,8,True,3355,0,0,0,1,0,0,Yes,Compliant
256730,21206.03,1319.38,2,6,2,False,3634,1,0,0,6,1,10,No,AML reporting required for high-value transaction
970910,2094.25,29049.25,0,14,10,True,376,0,0,0,4,0,0,Yes,Compliant
484681,1345.2,35818.12,4,8,9,True,3451,0,0,0,4,0,0,Yes,Compliant
249503,17081.06,38449.48,2,13,1,False,2469,1,0,0,8,1,10,No,AML reporting required for high-value transaction
754811,4600.48,6640.63,2,10,3,True,931,0,0,0,5,0,0,Yes,Compliant
627035,10181.34,21652.11,0,12,9,False,1851,1,0,0,4,1,10,No,AML reporting required for high-value transaction
748143,-124.67,8020.02,2,1,1,True,763,0,0,0,5,0,0,Yes,Compliant
552366,23792.37,32768.49,2,4,4,True,4840,1,0,0,1,1,10,No,AML reporting required for high-value transaction
165725,20547.44,7055.26,3,12,10,True,2266,1,0,0,6,1,10,No,AML reporting required for high-value transaction
229981,20913.69,45112.35,2,2,6,True,4152,1,0,0,2,1,10,No,AML reporting required for high-value transaction
184654,7203.21,10762.37,4,11,6,True,4782,0,0,0,2,1,10,Yes,Compliant
691723,17870.84,13861.52,2,8,4,True,4209,1,0,0,5,1,10,No,AML reporting required for high-value transaction
419030,-683.72,42396.22,3,12,10,True,3317,0,0,0,7,0,0,Yes,Compliant
428947,-4741.43,22381.85,1,4,10,False,2351,0,0,0,6,0,0,Yes,Compliant
655839,-4400.81,223.79,1,14,10,False,3045,0,0,0,0,0,0,Yes,Compliant
373538,12598.05,24223.9,4,8,10,False,3386,1,0,1,5,1,10,No,AML reporting required for high-value transaction
431236,8661.85,3311.71,4,13,1,False,1099,0,0,0,0,1,10,Yes,Compliant
628178,10540.46,49252.58,2,2,5,True,2350,1,0,0,3,1,10,No,AML reporting required for high-value transaction
665894,-4776.11,28993.69,2,13,5,True,2958,0,0,0,8,0,0,Yes,Compliant
589492,7680.6,12083.16,1,14,3,False,1647,0,0,0,4,1,10,Yes,Compliant
356840,16542.04,27749.6,1,4,3,False,2781,1,0,0,0,1,10,No,AML reporting required for high-value transaction
573254,8280.81,2920.22,0,12,4,True,3655,0,0,0,5,1,10,Yes,Compliant
449457,16966.58,39794.46,1,9,3,False,1499,1,0,0,5,1,10,No,AML reporting required for high-value transaction
765987,1990.57,46191.73,1,5,3,True,1,0,0,0,9,0,0,Yes,Compliant
370936,19394.26,43596.66,4,6,3,False,2104,1,0,0,5,1,10,No,AML reporting required for high-value transaction
339931,12652.94,16429.64,0,10,7,True,457,1,0,0,3,1,10,No,AML reporting required for high-value transaction
339629,1322.89,15614.17,0,15,9,False,4786,0,0,0,7,0,0,Yes,Compliant
305041,2101.61,789.47,2,15,1,False,540,0,0,0,4,0,0,Yes,Compliant
798361,13840.91,32221.42,2,15,8,False,3163,1,0,0,5,1,10,No,AML reporting required for high-value transaction
831912,19898.19,26280.14,0,12,10,True,1820,1,0,0,5,1,10,No,AML reporting required for high-value transaction
517113,7468.83,22426.66,0,9,1,False,2386,0,0,0,2,1,10,Yes,Compliant
168148,2749.01,45289.18,2,9,9,False,3442,0,0,0,1,0,0,Yes,Compliant
877089,21010.35,7561.82,4,7,8,True,2806,1,0,0,4,1,10,No,AML reporting required for high-value transaction
748531,15078.05,-507.02,4,11,6,True,4351,1,1,0,1,1,10,No,AML reporting required for high-value transaction; Account negative balance for 30+ days
351995,8442.56,2739.14,4,2,6,False,3980,0,0,0,9,1,10,Yes,Compliant
778843,9637.01,10391.94,4,7,10,True,1082,0,0,0,0,1,10,Yes,Compliant
672843,1127.69,697.56,2,9,7,True,375,0,0,0,8,0,0,Yes,Compliant
356508,13804.08,24645.03,3,2,8,True,1536,1,0,0,1,1,10,No,AML reporting required for high-value transaction
903591,5762.28,15018.61,1,7,7,False,386,0,0,0,1,1,10,Yes,Compliant
996942,24869.36,8204.63,1,12,1,True,811,1,0,0,8,1,10,No,AML reporting required for high-value transaction
206530,9405.51,37254.29,1,7,10,False,182,0,0,0,7,1,10,Yes,Compliant
704365,9576.57,9427.02,1,3,4,True,2363,0,0,0,5,1,10,Yes,Compliant
922352,11975.55,34067.86,2,6,4,False,1470,1,0,0,3,1,10,No,AML reporting required for high-value transaction
560337,22502.68,16812.51,3,8,9,True,3742,1,0,0,7,1,10,No,AML reporting required for high-value transaction
824839,19024.54,25103.22,2,10,9,True,1783,1,0,0,4,1,10,No,AML reporting required for high-value transaction
905889,8533.9,46627.22,3,8,3,False,3299,0,0,0,6,1,10,Yes,Compliant
559773,16560.98,904.93,2,14,9,False,2876,1,0,0,8,1,10,No,AML reporting required for high-value transaction
308261,12587.06,24513.49,0,3,5,False,2859,1,0,0,9,1,10,No,AML reporting required for high-value transaction
864469,9771.01,42575.57,3,6,6,False,1822,0,0,0,1,1,10,Yes,Compliant
441097,769.47,28986.69,1,2,7,False,2992,0,0,0,8,0,0,Yes,Compliant
415139,8918.09,13120.4,3,14,3,False,4397,0,0,0,6,1,10,Yes,Compliant
271829,2374.56,19281.74,4,2,4,False,4819,0,0,0,9,0,0,Yes,Compliant
371836,22445.26,33693.55,3,13,5,False,2698,1,0,0,6,1,10,No,AML reporting required for high-value transaction
538974,5062.2,44431.41,4,8,1,True,1088,0,0,1,6,1,9,Yes,Compliant
302283,23567.92,1094.39,4,11,8,False,1492,1,0,0,0,1,10,No,AML reporting required for high-value transaction
